序号,评论标识号,上级评论,用户标识符,时间,用户名,性别,评论内容,评论点赞数,评论回复数,粉丝牌,评论IP,主页IP,用户简介,微博认证,是否认证,会员等级,年龄,星座,学历,公司,微博注册日期,信用,用户粉丝数,用户关注数,用户转赞评数
444,5146434647885706,,7788968017,2025-03-21 00:44:59,鱼汤的鱼塘,女,@nan知陌 我就要强娶,0,0,,四川,四川,_(•̀ω•́ 」∠)_不怎么在线 发些自己喜欢的,,否,0,,,,,2022-09-12 00:07:52,一般,23,53,555
445,5146433524858983,,2216397093,2025-03-21 00:40:30,怀旧的绅士菌,男,期待@戴林1015 ,0,0,,云南,云南,,,否,0,,,,,2011-07-04 11:39:56,较好,73,206,246
446,5146433384876884,,7245153991,2025-03-21 00:39:58,叫我罗小黑呀,女,@原神 ,0,0,,山西,山西,,,否,0,,,忻州师范学院,,2019-07-20 01:12:38,较好,10,832,252
447,5146431406474885,,6630496557,2025-03-21 00:32:06,遥望月亮的兔叽,女,[打call][打call][打call],0,0,,四川,四川,,,否,0,23,射手座,,,2018-08-10 19:47:08,较好,31,263,1328
448,5146430609555554,,7188047175,2025-03-21 00:28:55,我飒爽奔跑,女,做的什么东西,4,0,,黑龙江,黑龙江,,,否,0,,,,,2019-06-10 22:45:03,较好,9,196,15
449,5146429523495267,,1833255331,2025-03-21 00:24:37,LISHENYUAN-5,男,我用华为的手机玩不了。,0,0,,广东,广东,,,否,0,,,,,2010-10-18 22:52:18,较好,576,71,4478
450,5146424356110382,,7873529712,2025-03-21 00:04:04,是夜漓丫,女,ex,0,0,,新加坡,新加坡,,,否,0,22,双子座,,,2023-09-26 18:38:09,一般,10,116,142
451,5146424119657352,,6575686395,2025-03-21 00:03:08,路云尘月,女,@阈翖 挺萌的。,0,0,,湖南,湖南,我恨你大保底。,,否,0,24,狮子座,,,2018-06-16 17:18:35,较好,14,112,634
452,5146422806577275,,6310159222,2025-03-20 23:57:55,暗夜星辰-和自己和解版,女,可爱[抱一抱],1,0,,俄罗斯,俄罗斯,新建文件夹ing~｜“爱是恒久忍耐，又有恩慈。”🦋,,是,1,,,,化城郭,2017-07-08 13:39:19,较好,656,3469,78194
453,5146422732391306,,7798974957,2025-03-20 23:57:37,塞尔弥德,女,转发,0,0,,四川,四川,,,否,0,19,摩羯座,西南交通大学犀浦校区,,2022-11-03 23:01:41,一般,16,143,120
454,5146422135494127,,6715401167,2025-03-20 23:55:16,zl我在孤独世界,男,@原神 想要,0,0,,浙江,浙江,,,否,0,24,双子座,,,2018-09-21 15:00:17,较好,169,937,1063
455,5146420742983899,,6753616309,2025-03-20 23:49:44,孤寂的闷gggvv,男,@闲来无趣无味 ,0,0,,山东,山东,,,否,0,18,双鱼座,,,2018-10-10 12:59:02,较好,3,416,213
456,5146420155781068,,6504705079,2025-03-20 23:47:24,txwygdmhy别逼我抽你们,男,@Jaszcc ,0,0,,浙江,浙江,,,否,0,,,,,2018-03-11 05:58:55,较好,25,564,3486
457,5146419435145434,,7594911722,2025-03-20 23:44:32,我推都是萌萌的宝宝,女,@陈曦想交朋友,0,0,,浙江,浙江,主混米家游戏、第五和盗墓笔记                                    夏彦长命百岁！gj滚开😅🖕,,否,1,,,,,2021-04-18 22:01:43,一般,23,917,519
458,5146418960405853,,6207770619,2025-03-20 23:42:39,穿过星雲开的花,男,能不能不把这么可爱的角色做的这么媚俗[汗],17,0,,北京,北京,镇魂,,否,1,,,,,2017-04-10 01:23:59,较好,6,189,12651
459,5146417212686416,,7269101370,2025-03-20 23:35:41,Pooooooooooooooooooog,女,听不见玩家的意见，是做不出好游戏的[黑线][黑线]这个游戏都快凉透了,16,0,,江苏,江苏,,,否,0,,,,,2019-08-01 15:46:35,较好,2,117,12
460,5146415982969064,,7964649352,2025-03-20 23:30:48,阿九4395,男,@稚久40515,0,0,,广东,广东,,,否,0,,,,,2024-11-23 22:46:30,较低,30,204,36
461,5146415118942783,,7363771034,2025-03-20 23:27:22,只因a_baby,男,@原神,0,0,,湖南,湖南,,,否,0,,,耒阳二中,,2019-12-29 17:56:09,一般,2,309,32
462,5146413369660159,,7466724555,2025-03-20 23:20:26,游戏星球的喵,女,太可爱啦,0,0,,广西,广西,一只穿梭在各个游戏星球的喵～,超话创作官（崩坏星穹铁道超话）,是,0,,,,,2020-06-02 09:52:58,较好,15795,226,18134
463,5146413365728115,,6592782291,2025-03-20 23:20:25,奕i沉睡的玛卡巴卡i寧,女,@魈宝爱碎觉,1,0,,广东,广东,,,否,0,,,,,2018-07-06 13:22:26,较好,29,1240,378
464,5146412644566177,,7379938610,2025-03-20 23:17:32,嘉晚饭丶,男,@原神 ,0,0,,江苏,江苏,,,否,0,,,,,2020-01-26 21:43:13,较好,290,2092,13
465,5146411688527257,,7515627348,2025-03-20 23:13:45,业火红莲26998,男,@artstarts 我要牛牛,0,0,,安徽,安徽,,,否,0,,,,,2020-10-25 08:57:25,一般,104,35,10
466,5146411327815701,,7765024240,2025-03-20 23:12:18,闲来无趣无味,男,@孤寂的闷gggvv ,0,0,,山东,山东,,,否,0,18,双鱼座,,,2022-05-31 12:02:15,一般,7,554,228
467,5146409130528666,,7856725651,2025-03-20 23:03:35,别困0425,男,[打call],1,0,,广东,广东,,,否,0,21,金牛座,,,2023-07-26 21:29:16,一般,17,36,81
468,5146408747270755,,7659094545,2025-03-20 23:02:03,NGE-EOE,男,@耶耶耶_198206 #原神瓦雷莎# ,0,0,,福建,福建,我们把冰上的一切,,否,0,,,,,2021-07-27 06:46:00,较好,91,636,1413
469,5146407724124201,,7736748805,2025-03-20 22:58:00,叠纸的游戏真好玩,男,#原神[超话]##原神# #瓦雷莎# @花89546 ,0,0,,河南,河南,,,否,0,,,,,2022-01-20 20:34:38,一般,14,31,49
470,5146406671356865,,7969214823,2025-03-20 22:53:49,OLAF1133,女,好萌,2,0,,河南,河南,,,否,0,0,双鱼座,,,2024-12-15 22:25:05,较低,3,53,22
471,5146405870766015,,5986048723,2025-03-20 22:50:38,月光_摩挲连绵,男,@原神 瓦蕾莎[抱一抱][抱一抱],0,0,,广东,广东,,,否,1,,,,,2016-07-20 13:21:53,较好,20,937,425
472,5146404932290175,,6286788559,2025-03-20 22:46:54,管它夏去复立秋,男,为什么不能媚宅，我请问[微笑],0,0,,四川,四川,谁我都不关注除非做我对象＼(`Δ’)／,,否,0,26,天秤座,山东大学,,2017-06-23 13:06:37,较好,85,483,3836
473,5146404716551744,,7026001473,2025-03-20 22:46:03,饺子管够饱,女,@小熊和夹心饼干 ,0,0,,广东,广东,你猜,,否,1,,,,,2019-03-09 20:39:36,较好,3,85,85
474,5146403375157962,,2082796430,2025-03-20 22:40:43,提瓦特一级腹肌品鉴师,女,小牛[親親],0,0,,四川,四川,微博认证：提瓦特一级腹肌品鉴师,超话粉丝大咖（原神超话）,是,0,25,处女座,,,2011-05-23 19:30:12,极好,387277,341,792477
475,5146401912131116,,2090345662,2025-03-20 22:34:54,Xiaol笑,男,@源计划告辞 ,0,0,,天津,天津,🙃,,否,0,33,巨蟹座,,,2011-04-06 13:13:50,较好,475,222,88
476,5146401504758794,,7872730455,2025-03-20 22:33:17,bsbaishi,女,@白石BS ,0,0,,河南,河南,,,否,0,,,,,2023-09-22 15:08:27,一般,20,203,196
477,5146400645191038,,7445933953,2025-03-20 22:29:52,金凤与良虎,女,@岚与你的回忆,0,0,,四川,四川,手执画笔画天地，回首只愿留和平。,,否,0,,,,,2020-04-29 16:09:44,一般,15,369,139
478,5146400002154684,,7847567692,2025-03-20 22:27:19,Mu香1010,女,@Swalleva1010 ,0,0,,辽宁,辽宁,,,否,0,25,双子座,,,2023-06-20 23:31:00,一般,3,36,34
479,5146398769021455,,6068383070,2025-03-20 22:22:24,你像月色轰鸣,男,看了一圈发现mhy又开始听不见尖锐的声音了（删评加捂嘴）,5,0,,湖北,湖北,,,否,0,,,,,2016-11-13 16:40:16,较低,3,32,0
480,5146395279361643,,3907864983,2025-03-20 22:08:33,偷奶粉吗,女,我抽还不行吗[舔屏],0,0,,江苏,江苏,,,否,0,,,,,2013-11-16 20:03:08,较好,29,117,3055
481,5146394696879530,,7928458577,2025-03-20 22:06:14,不想熬夜了阿巴阿巴,女,这么长，好抽象[允悲],1,0,,山东,山东,什么都玩，不怎么在微博混,,否,0,22,射手座,,,2024-06-23 09:35:58,较低,1,74,14
482,5146393660885916,,7814391704,2025-03-20 22:02:07,迪娜泽黛裙下小鬃狮,女,这也太可爱了[親親][親親],0,0,,四川,四川,百合，女人不老的秘密。,超话粉丝钻咖（原神超话）,是,0,28,巨蟹座,,,2023-01-11 17:25:00,较好,110548,57,62036
483,5146390229687265,,7800712811,2025-03-20 21:48:29,喜欢吃水果糖_yu,女,[送花花]@喜欢吃棒棒糖yu ,0,0,,天津,天津,,,否,0,22,天蝎座,,,2022-11-11 23:01:16,较低,3,67,449
484,5146389795051691,,7889645289,2025-03-20 21:46:45,喜欢吃棒棒糖yu,女,[送花花]@喜欢吃水果糖_yu ,0,0,,天津,天津,,,否,0,,,,,2023-12-11 06:39:16,较低,3,46,413
485,5146389474443989,,7831166691,2025-03-20 21:45:28,killyPlu,女,@原神 ,0,0,,福建,福建,,,否,0,,,,,2023-04-03 20:04:56,一般,5,110,460
486,5146389352813424,,7889710551,2025-03-20 21:45:00,all_for_love_BIRD_,女,@望着星星的稻草人 ,0,0,,天津,天津,,,否,0,,,,,2023-12-11 06:38:23,较低,3,92,57
487,5146386707520980,,7657850203,2025-03-20 21:34:29,白柠Lemonade,女,@裕淮花赌 #原神[超话]##原神# #瓦雷莎# #原神瓦雷莎# ,1,0,,河北,河北,NO,,否,1,,,,,2021-07-27 12:08:51,一般,23,767,1550
488,5146386628084174,,7475859734,2025-03-20 21:34:09,魁星81166,女,尾巴還要伸直顫抖你的小巧思藏不住啊[來][來],1,0,,中国台湾,中国台湾,,,否,0,,,,,2020-06-30 02:03:02,较好,5,208,43
489,5146384630289611,,5904007718,2025-03-20 21:26:14,艾尔法源晶官方,男,大保底已就绪[doge],1,0,,湖北,湖北,架空幻想世界小说《艾尔法源晶》官方账号。,,否,0,,,,,2016-04-20 21:46:10,较好,156,75,217
490,5146383192687549,,6542764178,2025-03-20 21:20:30,_一杯草莓奶茶冻冻,女,你凉的真的好明显 从纳塔特别是5.3火神开始一路凉着走 现在全是空降且媚宅甚至麻辣的小女友 跟以前的原越差越远了 除了你游底层的主线任务和地图+音乐外 对你游已经一句都夸不出来了,192,10,,广东,广东,,,否,0,,,,,2018-05-06 14:06:28,较好,17,94,431
491,5147126045086987,5146383192687549,6542764178,2025-03-22 22:32:21,_一杯草莓奶茶冻冻,女,回复@lusquirtle:你没看到“除了”这两个字吗 【除了地图音乐 （其他地方）一句都夸不出来】 上个网还要当语文老师,4,0,金粉3,广东,广东,,,否,0,,,,,2018-05-06 14:06:28,较好,17,94,431
492,5147089538909148,5146383192687549,5373261747,2025-03-22 20:07:16,lusquirtle,男,任务地图音乐你这夸的还少啊,1,0,铁粉5,北京,北京,Oh God,,否,0,,,,,2014-11-16 15:30:13,一般,6,26,198
493,5146982885359761,5146383192687549,7954974736,2025-03-22 13:03:28,卍熵,男,回复@_一杯草莓奶茶冻冻:流水赢就完了,2,0,铁粉1,江苏,江苏,,,否,0,,,,,2024-10-11 22:20:16,较低,5,4,0
494,5146596599399236,5146383192687549,2823947850,2025-03-21 11:28:30,鸣坂奈月_Natsuki,女,肥牛，腻出油了，吃不下[允悲],9,0,铁粉5,山东,山东,CN奈月/coser+文手/约稿50每k起/Xback/润玉是天/东东海/微草王推/安雷/2.0燃晚/SAO桐亚/罗浮.恒景/yys岳修帝河鲤酒茨/cv松冈kaji/静临/K第一季,,否,0,,,,,2012-06-05 16:17:59,较好,2112,1275,29060
495,5146587902775997,5146383192687549,6542764178,2025-03-21 10:53:58,_一杯草莓奶茶冻冻,女,回复@魔法少女小缘k7:5.0和5.1还行 开局火神队长对轰 还有5.1的战争渲染 我当时还能夸 后面5.3……..依托勾使 加上火神恶心的衣服设计 连续两版本空降角色 一个梦见月超级大麻辣 一个蠢萌漏比小短裙牛头人 包括5.6和后面版本也能推断出基本全空降 完全爱不起来 真的不知道这主线到底怎么设计的 隔壁崩铁的好10%都学不到,17,0,金粉3,广东,广东,,,否,0,,,,,2018-05-06 14:06:28,较好,17,94,431
496,5146575190101524,5146383192687549,5727306638,2025-03-21 10:03:27,魔法少女小缘k7,女,纳塔主线也是一坨[允悲],6,0,金粉2,江西,江西,We ARE ONE.                                                                                        --  My Forever EXO,,否,0,,,,,2015-10-15 18:37:52,较好,110,845,1992
497,5146376112181034,,7499688882,2025-03-20 20:52:23,葱葱ii,男,@小熊丘丘糖 ,0,0,,江西,江西,一定要上岸！！！！,,否,0,22,天蝎座,郑州轻工业大学,,2020-09-07 23:09:30,一般,14,150,50
498,5146375327058435,,5107646499,2025-03-20 20:49:16,封单走地水母饲养员,女,唐货,5,1,,湖北,湖北,LGBT新建文件夹 此号米批100%浓度没有其它内容   直fo会查成分 主页没有成分重合的不会回fo,,否,1,25,双鱼座,,,2014-04-09 15:36:57,较低,56,104,1904
499,5146375592610096,5146375327058435,5107646499,2025-03-20 20:50:19,封单走地水母饲养员,女,plq米孝子披个男拳皮加油哦[笑哈哈],3,0,铁粉3,湖北,湖北,LGBT新建文件夹 此号米批100%浓度没有其它内容   直fo会查成分 主页没有成分重合的不会回fo,,否,1,25,双鱼座,,,2014-04-09 15:36:57,较低,56,103,1904
500,5146374803555589,,6039731105,2025-03-20 20:47:10,沙条爱歌s,女,哎呦喂这微博评论区，还是一如既往[笑哈哈][笑哈哈],17,0,,四川,四川,这个人很懒，什么都没有留下。,,否,1,109,水瓶座,华中科技大学,,2016-10-06 13:57:23,较好,1996,254,135
501,5146373964694077,,7460708935,2025-03-20 20:43:50,真畏惧了,女,除了脸挑不出来任何一个值得夸奖的地方[爱你],13,0,,广东,广东,闭嘴蠢货,,否,0,,,,,2020-05-27 18:27:57,较低,2,127,3
502,5146372345434437,,7816665166,2025-03-20 20:37:25,氯化钠从不食盐,女,@迶汝 [送花花],0,0,,江西,江西,精神状态良好～ 平时赶时间，所以可能不活跃      (◍ ´꒳` ◍),,否,0,14,摩羯座,,,2023-01-20 17:20:26,较好,20,107,142
503,5146370751859848,,7748336236,2025-03-20 20:31:05,原神小九,女,[哇],0,0,,福建,福建,心有所向，日复一日，必有精进。,超话创作官（原神超话）,是,0,,,,,2022-03-30 02:48:59,较好,223203,326,56266
504,5146367039116855,,2194236402,2025-03-20 20:16:20,L同学做个好孩子,男,@WYDLZK ,0,0,,广东,广东,在水中飞翔的鱼（向往远方-做一条力争上游的鱼）,,否,0,33,水瓶座,广东财经大学,,2011-06-25 18:11:57,较好,326,763,5015
505,5146365983722392,,6495211859,2025-03-20 20:12:08,wb酱油牌酱油,男,@有只小茶叫银杏 ,0,0,,广东,广东,,,否,0,,,,,2018-02-24 02:50:29,一般,10,58,20
506,5146364858600482,,5579192369,2025-03-20 20:07:40,ID_Wixx,男,牛牛可爱！[爱你],0,0,,河南,河南,,,否,0,,,,,2015-04-04 02:08:53,较好,7,49,335
507,5146364179123270,,1823862252,2025-03-20 20:04:58,曾_玉米,男,@黑手光环笼罩的离子键 牛牛,0,0,,广东,广东,曾先森,,否,0,34,天蝎座,韶关学院,,2010-09-20 20:26:03,较好,627,1100,31152
508,5146363071305725,,7795290564,2025-03-20 20:00:34,抓住漂亮离离,女,@叶十吾君 ,0,0,,江西,江西,,,否,0,2,金牛座,,,2022-10-12 08:35:30,较好,7,215,105
509,5146360954229905,,6055894616,2025-03-20 19:52:09,疭恆兲乤45977,男,@APLE鹏 厉害啊，你怎么做到的🤩,0,0,,山东,山东,,,否,0,,,,,2016-10-27 12:49:52,较好,35,161,35
510,5146358526511716,,5664930212,2025-03-20 19:42:30,好运晓锦鲤,女,勇敢牛牛不怕困难。,0,0,,辽宁,辽宁,我想中个手机。,,否,0,55,摩羯座,,,2015-07-31 20:00:36,较好,46,699,49
511,5146355932858081,,2302458832,2025-03-20 19:32:12,·龄南·,女,@莓jia莓子皮 [抱一抱],0,0,,江苏,江苏,南已妄记❣️,,否,0,,,福建师范大学,医疗/健康,2013-02-02 23:55:33,极好,230,390,81336
512,5146355648430475,,7584241281,2025-03-20 19:31:03,晴枫之雨,女,可爱捏[心],1,0,,广东,广东,,,否,0,26,金牛座,,,2021-03-31 20:06:50,较好,7,141,51
513,5146355639257595,,6765078048,2025-03-20 19:31:02,芒天帝,女,坐我脸上[舔屏][爱慕]@原神,1,0,,湖北,湖北,,,否,0,,,,,2018-10-13 21:30:10,较好,494,5349,515
514,5146355220353068,,5869346554,2025-03-20 19:29:22,lwj是大美丽,女,能不能给老角色改改建模,3,0,,澳大利亚,澳大利亚,小猫电台 祝泥今天鱼块⌯>ᴗo⌯.ᐟ.ᐟ,,否,1,21,双子座,昆士兰大学,,2016-02-28 00:25:04,较好,245,1826,8233
515,5146355175262602,,3165939510,2025-03-20 19:29:10,AlysonWin,女,牛妹儿哈哈哈哈哈哈哈,0,0,,重庆,重庆,杂食🙏🏻  绝处有侠气，请君拔剑！,,否,0,,,重庆邮电大学,,2013-01-24 20:48:30,较好,143,478,5696
516,5146352738109659,,5297806085,2025-03-20 19:19:30,枕玉老师单推人,女,感觉这个PV技术又进步了哎！虽然没有到想抽瓦蕾莎的地步，但是这个PV真的很可爱[打call]！,0,0,,江苏,江苏,累了，赶紧下班吧！,,否,0,,,,,2014-09-17 19:07:57,极好,199,914,5834
517,5146352581347776,,7566286153,2025-03-20 19:18:53,顾萝又在摸鱼,女,[兔子]许愿@暗霊-kurarei,0,0,,广东,广东,遇事不决睡大觉,,否,0,,,,,2021-02-19 09:48:41,较好,57,209,1426
518,5146351687964087,,5966694843,2025-03-20 19:15:20,露湿衣不觉,女,太可爱了[可怜][可怜]决定使用一个小保底,0,0,,四川,四川,,,否,1,,,,,2016-06-22 17:37:58,较好,36,156,9177
519,5146350699414044,,7751376487,2025-03-20 19:11:23,爱鱼鱼的风仔,女,@7777耶- gogogo,0,0,,福建,福建,喜欢看美好的事物,,否,1,,,,,2022-04-03 14:02:00,较低,7,95,51
520,5146349901185657,,7293288899,2025-03-20 19:08:13,我的小宝就是这么可爱,女,@原神 ,0,0,,广西,广西,喜欢自已和他，只推我推，不推官方,,否,0,,,,,2019-08-26 21:57:56,较低,2,126,2
521,5146349516886011,,5649347277,2025-03-20 19:06:42,新月初红,女,哈哈这个战斗画面跟吃饭画面切一起怎么这么好笑,0,0,,四川,四川,愿，永远赤忱 阿灵永远是我的top1 gayety,,否,0,,,,,2015-07-09 14:48:12,较好,65,274,6202
522,5146349357241197,,7385544095,2025-03-20 19:06:04,慕颜喵,女,勇敢牛牛向前冲[打call],0,0,,广西,广西,非酋转运中！,微博原创视频博主,是,1,,,,,2020-02-03 16:32:31,较好,433333,1786,775163
523,5146348929944675,,7932529970,2025-03-20 19:04:22,低低在下的救人味,女,神特么牛头勇士从天而降[允悲][允悲],0,0,,江苏,江苏,努力当萌萌中,,否,0,20,巨蟹座,,,2024-07-12 11:32:12,较低,4,221,55
524,5146345124662147,,1975425693,2025-03-20 18:49:15,noflowerdeer,女,勇敢牛牛，我来啦[赢牛奶],0,0,,北京,河南,少林寺驻武当山大神父王喇嘛,,否,0,,,,,2011-02-18 09:36:33,较好,304,1452,3715
525,5146344638384378,,7716639314,2025-03-20 18:47:19,凌雨晏苏,女,[开学季],4,0,,上海,上海,因为我们是命运的,,否,0,26,巨蟹座,,,2021-10-24 15:58:23,一般,17,249,138
526,5146343602130336,,7557841554,2025-03-20 18:43:12,江鱼吃猫,男,@桔子爱橘猫 ,0,0,,山西,山西,目前尸体反应良好,,否,1,,,,,2021-01-31 14:34:32,较好,37,223,1976
527,5146342445025057,,6246745228,2025-03-20 18:38:36,罗了个吧嗦,女,脸真的特别可爱，一定要好好写剧情行吗原神[微笑][微笑][微笑],0,0,,广东,广东,zzz,,否,1,,,,,2017-05-16 13:26:29,较好,16,289,1444
528,5146341782590007,,7971932734,2025-03-20 18:35:58,童年的白,女,@记忆中的生 原神加油！,0,0,,天津,天津,希望天天开心，幸福快乐！,,否,0,24,双子座,,,2024-12-29 16:46:07,较低,14,746,4288
529,5146340725621238,,7625356782,2025-03-20 18:31:45,晴空万里行1,男,[打call][打call],1,0,,广东,广东,,,否,1,,,,,2021-06-11 13:47:53,较低,19,200,34
530,5146339713483971,,7602647960,2025-03-20 18:27:44,-三岁就狠帅-,女,很可爱啊,0,0,,河南,河南,头像我老公｜银狼黑进我的系统并做课间操,,否,1,,,,,2021-05-03 10:47:39,较好,2,115,479
531,5146339596831363,,5518506781,2025-03-20 18:27:17,兮陌如生,男,@rng不夺s11不改名,0,0,,广东,广东,科学的尽头是管理学,,否,0,,,,,2015-02-13 17:47:58,较好,45,218,196
532,5146339102428048,,7957234120,2025-03-20 18:25:19,不忘殇,女,@相恋锁 不错，加油👏,0,0,,天津,天津,愿天天开心，幸福没烦恼！,,否,0,,,,,2024-10-25 16:47:05,一般,102,977,85
533,5146338292403592,,7283437133,2025-03-20 18:22:06,恣睢hhh,女,老婆@崩坏星穹铁道 ,0,0,,北京,北京,奇怪的俗人.,,否,0,,,,,2019-08-16 22:37:12,较好,103,435,279
534,5146336576144468,,5770879290,2025-03-20 18:15:16,屿了了,男,@七十二时625 ,0,0,,山东,山东,平平无奇奇奇奇奇,,否,0,,,,,2015-11-25 11:20:27,较好,183,2557,11
535,5146336292242367,,3689014264,2025-03-20 18:14:08,青花鱼的味道,女,@海贼-忍者 ,0,0,,广东,广东,开始人格扭曲。,,否,0,25,双子座,,,2013-08-01 18:16:25,较好,89,98,390
536,5146335059381779,,7790902591,2025-03-20 18:09:15,萌皓兔馒,女,好萌！,1,0,,广东,广东,“玫瑰处处是荆棘，而你处处是温柔.”    @TF_ing穆祉丞MUA @TOP登陆少年-苏新皓,,否,1,,,,其它,2022-09-16 22:03:28,较好,782,1219,12484
537,5146333229614435,,1087294285,2025-03-20 18:01:59,家有萝莉喵,女,只要穿裙子就是媚宅，只要结婚就是女性背叛者[笑cry]，脑子好像只有一根筋，这世界是万紫千红的不是你一个人的，你觉得媚宅我还觉得可爱呢，你不喜欢可以不抽抽你喜欢的就得了[笑cry],24,13,,黑龙江,黑龙江,AKB-小野大辅-perfume-白宇-BTS-郑号锡—刘照坤  ——以上名字为时间线顺序  为与B站同步而改了微博名字 原名：一生唯爱ONOD,超话小主持人（刘照坤超话）,是,0,,,,广电龙江,2011-04-12 15:46:28,极好,426,304,41049
538,5151394571226582,5146333229614435,6340861212,2025-04-03 17:13:57,咖喱块放逐西兰花,女,回复@炽烈黑羽:怎么用大妈这个词来泄愤[笑cry]这时候扯上性别不扯二次元现充了[笑cry],0,0,铁粉1,河南,河南,镇魂,,否,1,,,,,2017-08-08 11:10:14,较好,62,946,4112
539,5151393677578724,5146333229614435,6340861212,2025-04-03 17:10:24,咖喱块放逐西兰花,女,回复@炽烈黑羽:你的头像甘雨涩图很不错哟[笑cry][笑cry],0,0,铁粉1,河南,河南,镇魂,,否,1,,,,,2017-08-08 11:10:14,较好,62,946,4112
540,5150667665574816,5146333229614435,6340861212,2025-04-01 17:05:29,咖喱块放逐西兰花,女,回复@炽烈黑羽:孩子你还小吧，哎先把二次元高贵论放一放吧，或者你就玩游戏吧别管这些了,0,0,铁粉1,河南,河南,镇魂,,否,1,,,,,2017-08-08 11:10:14,较好,62,946,4112
541,5148963200041369,5146333229614435,6274386712,2025-03-28 00:12:32,炽烈黑羽,女,回复@哇哇哭且菜:那做什么角色不是媚宅？宅女也是宅啊，做男角色也是媚宅，麦麸也是媚宅不是吗？这游戏本身就是给宅宅玩的，不媚宅难道媚现充？,0,0,铁粉1,广东,广东,,,否,0,,,,,2017-06-07 17:38:16,较好,2,153,52
542,5147815533872476,5146333229614435,1087294285,2025-03-24 20:12:08,家有萝莉喵,女,回复@哇哇哭且菜:叫大姐？你多大啊叫大姐，喊阿姨[微笑]。吵归吵称呼还是要分明,0,0,铁粉3,黑龙江,黑龙江,AKB-小野大辅-perfume-白宇-BTS-郑号锡—刘照坤  ——以上名字为时间线顺序  为与B站同步而改了微博名字 原名：一生唯爱ONOD,超话小主持人（刘照坤超话）,是,0,,,,广电龙江,2011-04-12 15:46:28,极好,426,304,41049
543,5147814171510781,5146333229614435,6340861212,2025-03-24 20:06:43,咖喱块放逐西兰花,女,回复@家有萝莉喵:好的好的加油大姐[笑cry][给力][给力],0,0,铁粉1,河南,河南,镇魂,,否,1,,,,,2017-08-08 11:10:14,较好,62,946,4112
544,5147780495707940,5146333229614435,1087294285,2025-03-24 17:52:54,家有萝莉喵,女,回复@哇哇哭且菜:那我反驳你说什么呢？跟我对喷？你能说服我是咋的？还是觉得回复两句过瘾？明知道理念不合还来说这些？,0,0,铁粉3,黑龙江,黑龙江,AKB-小野大辅-perfume-白宇-BTS-郑号锡—刘照坤  ——以上名字为时间线顺序  为与B站同步而改了微博名字 原名：一生唯爱ONOD,超话小主持人（刘照坤超话）,是,0,,,,广电龙江,2011-04-12 15:46:28,极好,426,304,41049
545,5147719177863660,5146333229614435,6340861212,2025-03-24 13:49:14,咖喱块放逐西兰花,女,回复@家有萝莉喵:谁不让你反驳了[笑cry]你既然知道有人喜欢有人不喜欢还不让不喜欢的人骂了是吗,0,0,铁粉1,河南,河南,镇魂,,否,1,,,,,2017-08-08 11:10:14,较好,62,946,4112
546,5147650018773371,5146333229614435,1087294285,2025-03-24 09:14:26,家有萝莉喵,女,回复@哇哇哭且菜:媚是你说的，也不是我说的，你说的就是“改变不了的事实”真挺有意思啊~你能骂我不能反驳是吗？双标玩的挺好啊？,0,0,铁粉3,黑龙江,黑龙江,AKB-小野大辅-perfume-白宇-BTS-郑号锡—刘照坤  ——以上名字为时间线顺序  为与B站同步而改了微博名字 原名：一生唯爱ONOD,超话小主持人（刘照坤超话）,是,0,,,,广电龙江,2011-04-12 15:46:28,极好,426,304,41049
547,5147641248744182,5146333229614435,6340861212,2025-03-24 08:39:35,咖喱块放逐西兰花,女,你喜欢也改变不了就是媚的事实[笑cry]你喜欢你抽不得了拦不住不喜欢的人骂呀,2,0,铁粉1,河南,河南,镇魂,,否,1,,,,,2017-08-08 11:10:14,较好,62,946,4112
548,5146332743078236,,3758398955,2025-03-20 18:00:03,我真的炒鸡欧,女,@yusei啾咪 ,0,0,,浙江,浙江,55骗不下去了！！！我欧个鬼啊！！！,,否,0,30,处女座,,,2013-09-02 23:15:50,较好,44,292,564
549,5146332302671980,,7851600226,2025-03-20 17:58:17,Yukimi_ana,女,新版本原神星铁托管已开启✨精托180/月，全托280/月350/版本全托✨每日返图，大活动40-50，小活动10深渊20/期✨超级认真全能代代，原铁双坑满级全勤[珊瑚宫心海]支持验证码/扫码/帐密✨可全程b直播，高质量高效率✅信誉图2k+http://t.cn/A6jDSzu3，四年千单无差评[送花花]祝板宝运气爆棚，生活愉快！,0,0,,四川,四川,你好呀，这里超级认真的代代，可全程直播，消息看到都会回哒(´▽｀)联系方式wx 13636509652（镇魂,,否,1,24,摩羯座,,,2023-07-17 16:54:59,一般,229,1077,118
550,5146331647840674,,5106776048,2025-03-20 17:55:42,TFGBEOMYS,男,小男孩才更可爱，我的注意力都在小男孩身上[偷笑],2,0,,广东,广东,暂无介绍,,否,0,,,,,2014-04-11 19:21:56,较好,246,671,2579
551,5146329403883641,,5279683931,2025-03-20 17:46:46,叶子酥糖euphe,女,好可爱的大胃王🥰@街角荒夏 ,0,0,,广东,广东,与其在意别人的背弃与不善，不如经营自己的尊严和美好！,,否,0,,,,信息技术,2014-09-04 12:13:59,较好,89,288,3009
